tweet_id,tweet_text,created_at,author_id,sentiment_score,sentiment_label
1941049959274762675,"NIKE AIR MAX UPTEMPO 95 ""CHICAGO""

AIR MAX UPTEMPO 95 ""CHICAGO""

COLORWAY
""WHITE / UNIVERSITY RED / BLACK""

#NIKE
#AIRMAX
#AIRMAXUPTEMPO95
#UPTEMPO95
#CHICAGO

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb  
@nikebasketball https://t.co/2RfTXzsduT",2025-07-04 08:22:27+00:00,1760631478902497280,0.0,neutral
1941049911623241788,"NIKE AIR MAX UPTEMPO 95 ""CHICAGO""

AIR MAX UPTEMPO 95 ""CHICAGO""

COLORWAY
""WHITE / UNIVERSITY RED / BLACK""

#NIKE
#AIRMAX
#AIRMAXUPTEMPO95
#UPTEMPO95
#CHICAGO

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb  
@nikebasketball https://t.co/2RfTXzsduT",2025-07-04 08:22:16+00:00,1760631478902497280,0.0,neutral
1941049380662137041,The best running shoes in the world: adidas Best 😊 #adidas #adidassamba #adidasjapan #Nike #adidasxmercedes https://t.co/awfLBnFJ8C,2025-07-04 08:20:09+00:00,1786960038256357376,0.8555,positive
1941049168077918337,"NIKE AIR JORDAN 8 RETRO OG ""AQUA""

AIR JORDAN 8 RETRO OG ""AQUA""

COLORWAY
""BLACK / TRUE RED / IRON GREY / BRIGHT CONCORD / AQUATONE""

#NIKE
#AIRJORDAN8
#AIR_JORDAN8
#AQUA

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb
@nikebasketball https://t.co/kjc76R6mev",2025-07-04 08:19:19+00:00,1760631478902497280,0.7096,positive
1941049108736901338,"NIKE AIR JORDAN 8 RETRO OG ""AQUA""

AIR JORDAN 8 RETRO OG ""AQUA""

COLORWAY
""BLACK / TRUE RED / IRON GREY / BRIGHT CONCORD / AQUATONE""

#NIKE
#AIRJORDAN8
#AIR_JORDAN8
#AQUA

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb
@nikebasketball https://t.co/kjc76R6mev",2025-07-04 08:19:05+00:00,1760631478902497280,0.7096,positive
1941048878062780563,"UNDEFEATED × NIKE AIR JORDAN 4 RETRO OG SP ""DEEP GREEN""

""UNDEFEATED"" × AIR JORDAN 4 RETRO OG SP ""DEEP GREEN""

COLORWAY
""DEEP GREEN / CLEMENTINE / BLACK / SAIL""

#UNDEFEATED
#NIKE
#AIRJORDAN4
#AIR_JORDAN4
#DEEPGREEN

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb 
@UNDEFEATEDinc https://t.co/4IfISoDAo2",2025-07-04 08:18:10+00:00,1760631478902497280,0.0,neutral
1941048838581854336,"UNDEFEATED × NIKE AIR JORDAN 4 RETRO OG SP ""DEEP GREEN""

""UNDEFEATED"" × AIR JORDAN 4 RETRO OG SP ""DEEP GREEN""

COLORWAY
""DEEP GREEN / CLEMENTINE / BLACK / SAIL""

#UNDEFEATED
#NIKE
#AIRJORDAN4
#AIR_JORDAN4
#DEEPGREEN

@nikejapan
@Nike
@nikestore
@NikeNYC 
@nikesb 
@UNDEFEATEDinc https://t.co/4IfISoDAo2",2025-07-04 08:18:00+00:00,1760631478902497280,0.0,neutral
1941048713579049035,"NIKE AIR JORDAN 4 RETRO OG ""FLIGHT CLUB""

AIR JORDAN 4 RETRO OG ""FLIGHT CLUB""

COLORWAY
""SAIL / BLACK / UNIVERSITY RED""

#NIKE
#AIRJORDAN4
#AIR_JORDAN4
#FLIGHTCLUB
#FLIGHT_CLUB

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/Adwe7y4OIj",2025-07-04 08:17:30+00:00,1760631478902497280,0.0,neutral
1941048672814514647,"NIKE AIR JORDAN 4 RETRO OG ""FLIGHT CLUB""

AIR JORDAN 4 RETRO OG ""FLIGHT CLUB""

COLORWAY
""SAIL / BLACK / UNIVERSITY RED""

#NIKE
#AIRJORDAN4
#AIR_JORDAN4
#FLIGHTCLUB
#FLIGHT_CLUB

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/Adwe7y4OIj",2025-07-04 08:17:21+00:00,1760631478902497280,0.0,neutral
1941047489819562098,"NIKE AIR JORDAN 1 HIGH RETRO OG ""SHATTERED BACKBOARD""

AIR JORDAN 1 HIGH RETRO OG ""SHATTERED BACKBOARD""

COLORWAY
""BLACK / SAIL / STARFISH""

#NIKE
#AIRJORDAN1HIGH
#SHATTEREDBACKBOARD
#SHATTERED_BACKBOARD

@nikejapan
@Nike
@nikestore
@NikeNYC
@nikesb
@nikebasketball https://t.co/LONryMzete",2025-07-04 08:12:39+00:00,1760631478902497280,-0.7351,negative
